지번주소,좌표정보,좌표정보,콘텐츠 명
서울특별시 중구 태평로1가 31번지 서울시청,126.9777063,37.56620502,서울시 신청사
서울특별시 강서구 방화동 847번지 유니트로,126.805682,37.57207028,개화산역 공영주차장
서울특별시 도봉구 창동 1-9번지,127.0490031,37.65383374,창동역 공영주차장
서울특별시 중랑구 망우동 353-25번지,127.101898,37.60294028,망우1.2공영주차장
서울특별시 송파구 장지동 561-9번지,127.1285365,37.47021668,복정역 공영주차장
서울특별시 서대문구 연희동 168-6번지 서대문구청,126.9362844,37.57920734,서대문구청 공영주차장
서울특별시 광진구 능동 18번지 어린이대공원,127.0762633,37.54930327,어린이대공원 후문주차장
서울특별시 양천구 신월동 473-7번지,126.8492522,37.52630209,명화운수
서울특별시 성동구 성수동1가 685-58번지,127.0419817,37.54847439,대한상운
서울특별시 금천구 가산동 148-28번지 가산동공영주차장,126.8955121,37.4768582,가산공영주차장
서울특별시 관악구 신림동 467번지 서울남부초등학교,126.9216019,37.48438662,남부초공영주차장
서울특별시 종로구 훈정동 1-2번지 종묘공원,126.9951311,37.57098022,종묘 공영주차장
서울특별시 종로구 세종로 80-1번지 세종로지하주차장,126.9762783,37.573279,세종로 공영주차장
서울특별시 중구 장충동2가 186-54번지,127.0025949,37.56011825,그랜드앰배서더 서울
서울특별시 용산구 한남동  산 10-84번지,127.0025477,37.53951292,한강진역 공영주차장
서울특별시 성동구 성수동2가 279-29번지,127.0644342,37.54497997,기아차 성동서비스센터
서울특별시 성동구 마장동 808번지,127.0453651,37.56710278,마장동사무소 앞(공중전화부스)
서울특별시 동대문구 전농동 591-53번지 청량리역롯데백화점,127.0474603,37.5804978,청량리롯데백화점
서울특별시 동대문구 이문동 292-10번지 이문동웰츠타워,127.061732,37.5985856,이마트 이문점
서울특별시 중랑구 신내동 316번지 서울의료원,127.0967197,37.61287382,서울의료원
서울특별시 중랑구 면목동 168-2번지 홈플러스,127.0813973,37.58106959,홈플러스 면목점
서울특별시 성북구 하월곡동 46-73번지 코업스타클래스,127.0406813,37.60188711,홈플러스 월곡점
서울특별시 성북구 장위동 65-154번지,127.0531358,37.60927653,성북벤처빌딩 공영주차장
서울특별시 강북구 미아동 1359번지 롯데마트,127.0180879,37.6256827,롯데마트 삼양점
서울특별시 도봉구 방학동 717-6번지 빅마켓도봉점,127.0458305,37.6678362,빅마켓 도봉점
서울특별시 노원구 상계동 770-2번지 주차장주차장관리소,127.0588233,37.64483933,노원에코센터
서울특별시 은평구 응암동 90-1번지 은평이마트,126.9203123,37.60018869,이마트 은평점
서울특별시 은평구 진관동 66-30번지,126.9192927,37.63800317,구파발역 환승주차장
서울특별시 마포구 성산동 420번지 월드컵경기장역,126.8989571,37.56924062,홈플러스 월드컵점
서울특별시 마포구 마포동 36-1번지,126.9416105,37.53889821,시설관리공단 마포유수지주차장
서울특별시 마포구 상암동 482-116번지,126.8789635,37.56727498,노을공원
서울특별시 양천구 목동 919-7번지 홈플러스목동점,126.8735701,37.52997751,홈플러스 목동점
서울특별시 양천구 신월동 987번지 신월문화체육센타,126.8350467,37.52010754,해맞이공영주차장
서울특별시 강서구 가양동 18-24번지 홈플러스가양점,126.8494455,37.564343,홈플러스 가양점
서울특별시 강서구 방화동 886번지 김포공항역,126.8007895,37.5617585,롯데마트 김포공항점
서울특별시 강서구 외발산동 426번지 메이필드호텔낙원가든,126.8169614,37.54885813,메이필드호텔
서울특별시 구로구 구로동 636-89번지 롯데마트구로점,126.8726002,37.4986045,롯데마트 구로점
서울특별시 구로구 오류동 174-10번지,126.8391578,37.48726611,천왕역 환승주차장
서울특별시 구로구 구로동 136-14번지,126.8913478,37.49223599,구로리공원 앞(공중전화부스)
서울특별시 금천구 시흥동 992-47번지 삼성홈플러스,126.9012384,37.45182884,홈플러스 시흥점
서울특별시 금천구 독산동 1006-94번지 독산1동공영주차장,126.894913,37.46480594,독산1동 공영주차장
서울특별시 금천구 가산동 239-27번지,,,제일모직아울렛 건너편(공중전화부스)
서울특별시 영등포구 신길동 116-15번지,126.917254,37.51116273,영등포구 대신시장(공중전화부스)
